City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
621,Nishihara,JP,87.46,scattered clouds,26.1842,127.7558,Minshuku Agaihama
622,Tual,ID,80.37,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
623,Vilhena,BR,71.46,broken clouds,-12.7406,-60.1458,Hotel Mirage
625,Savalou,BJ,70.65,few clouds,7.9281,1.9756,Hotel F&F
626,Rajgir,IN,83.23,broken clouds,25.0333,85.4167,Hotel Nalanda Regency
628,Najran,SA,75.88,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
629,Tura,IN,76.41,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
632,Naifaru,MV,80.89,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
633,Turan,VN,85.98,scattered clouds,16.0678,108.2208,Grand Mercure Danang
634,Kailua,US,89.58,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
635,Carbonia,IT,77.02,clear sky,39.1672,8.5222,Lu 'Hotel
636,Fort Nelson,CA,74.3,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
641,Datong,CN,74.28,overcast clouds,40.0936,113.2914,Holiday Inn Datong City Centre
645,Onverwacht,SR,79.86,clear sky,5.5833,-55.1833,"Overtoom, District Para, Paramaribo"
646,Magdalena,PH,80.35,light rain,14.1999,121.429,Samparada & Gestiada Residences
647,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
648,Guilin,CN,81.19,broken clouds,25.2819,110.2864,Grand 0773 Hotel
651,Tarbes,FR,70.27,clear sky,43.25,0.1667,Quelle Vue (Gite Rural)
654,Mersing,MY,80.17,broken clouds,2.4312,103.8405,Timotel Hotel
657,Saint Paul,US,74.12,light intensity drizzle,44.9444,-93.0933,"InterContinental Saint Paul Riverfront, an IHG Hotel"
658,Alyangula,AU,81.7,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
659,Michigan City,US,84.72,clear sky,41.7075,-86.895,Microtel Inn & Suites by Wyndham Michigan City
662,Sao Joao Da Barra,BR,70.41,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
664,Sur,OM,85.98,broken clouds,22.5667,59.5289,Sur Plaza Hotel
668,Calderitas,MX,80.11,overcast clouds,18.55,-88.25,Hotel Hacienda Campestre
671,Yorosso,ML,76.14,overcast clouds,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
678,Barreirinha,BR,80.15,broken clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
679,Kantang,TH,81.99,overcast clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
680,Elat,IL,85.08,clear sky,29.5581,34.9482,Club Hotel Eilat
684,Parry Sound,CA,71.06,overcast clouds,45.3501,-80.033,Bayside Inn
686,Basoko,CD,72.52,overcast clouds,1.2391,23.616,Jackyna Hotel
693,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
695,Tottori,JP,89.67,few clouds,35.5,134.2333,Hotel Monarque Tottori
696,Hailey,US,83.88,clear sky,43.5196,-114.3153,Wood River Inn & Suites
699,Jacareacanga,BR,80.35,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
